,similarity_score
0,0.72313887
1,0.7634065
2,0.7691816
3,0.72487116
4,0.75966275
5,0.7665993
6,0.76050794
7,0.7547853
8,0.7548214
9,0.7252513
10,0.739204
11,0.727533
12,0.7327738
13,0.7327738
14,0.76776075
15,0.7490146
16,0.7629209
17,0.7534789
18,0.74512124
19,0.7282549
20,0.7419088
21,0.7485383
22,0.73738647
23,0.7569457
24,0.7707046
25,0.7786733
26,0.75899196
27,0.7672248
28,0.7357389
29,0.7348521
30,0.7557607
31,0.7584468
32,0.7691816
33,0.7612256
34,0.70927346
35,0.7408172
36,0.7643864
37,0.7527889
38,0.7158724
39,0.74277157
40,0.7158724
41,0.7292826
42,0.73389506
43,0.7458446
44,0.7495376
45,0.7568395
46,0.7373805
47,0.70196533
48,0.7547853
49,0.7736089
50,0.71652144
51,0.72922546
52,0.739204
53,0.7546413
54,0.66685915
55,0.7195349
56,0.7606166
57,0.7032687
58,0.7259131
59,0.74148047
60,0.74148047
61,0.74148047
62,0.7608826
63,0.7100346
64,0.7343741
65,0.7259131
66,0.7597401
67,0.71737814
68,0.7087027
69,0.76405346
70,0.76661575
71,0.75893164
72,0.7226653
73,0.74193674
74,0.7440311
75,0.77020144
76,0.71824306
77,0.69277096
78,0.73636603
79,0.73092145
80,0.72922546
81,0.6389016
82,0.758596
83,0.749488
84,0.7589635
85,0.73502463
86,0.73106533
87,0.7037822
88,0.7473854
89,0.7178831
90,0.7178831
91,0.72075653
92,0.71700025
93,0.71700025
94,0.7320958
95,0.7320958
96,0.7587462
97,0.75342727
98,0.7164787
99,0.7341789
100,0.73680544
101,0.7133447
102,0.7627876
103,0.7227033
104,0.7435874
105,0.7435874
106,0.7546413
107,0.71437997
108,0.71365184
109,0.71560407
110,0.7317164
111,0.73605907
112,0.7100346
113,0.71700025
114,0.71700025
115,0.75324774
116,0.74881214
117,0.77150106
118,0.739204
119,0.7703569
120,0.7703569
121,0.7703569
122,0.73738647
123,0.7318304
124,0.7274974
125,0.7749147
126,0.73526454
127,0.7342366
128,0.7489833
129,0.75241274
130,0.74512124
131,0.7703569
132,0.7703569
133,0.7703569
134,0.74015665
135,0.74376416
136,0.7569457
137,0.729784
138,0.71821773
139,0.74370253
140,0.7303344
141,0.7480835
142,0.6886099
143,0.7470815
144,0.72756594
145,0.74512124
146,0.72302544
147,0.7258389
148,0.7258389
149,0.7110766
150,0.7542683
151,0.75379515
152,0.76108766
153,0.74015665
154,0.73197436
155,0.7130227
156,0.71021867
157,0.73223174
158,0.7545482
159,0.68848115
160,0.733338
161,0.7709218
162,0.733338
163,0.7170254
164,0.7310523
165,0.74471563
166,0.7317164
167,0.76935244
168,0.7637083
169,0.7637083
170,0.74060464
171,0.76343
172,0.7591533
173,0.7574238
174,0.7220368
175,0.727533
176,0.7291629
177,0.7551676
178,0.7444685
179,0.7808601
180,0.75078195
181,0.7423062
182,0.73106533
183,0.7087916
184,0.752942
185,0.7087916
186,0.7624722
187,0.7397834
188,0.75701916
189,0.7801758
190,0.7059078
191,0.7638604
192,0.74961245
193,0.7569457
194,0.75234336
195,0.73186445
196,0.6397077
197,0.7525801
198,0.75342727
199,0.74614877
200,0.7498146
201,0.69200116
202,0.716146
203,0.7818778
204,0.75379515
205,0.7468184
206,0.7789054
207,0.7611972
208,0.7534789
209,0.7515954
210,0.74376416
211,0.7343107
212,0.75195503
213,0.7600311
214,0.7291629
215,0.7574238
216,0.7574238
217,0.74376416
218,0.76343
219,0.7557607
220,0.7547853
221,0.7716315
222,0.7161781
223,0.71911085
224,0.7538615
225,0.7384484
226,0.7440311
227,0.696898
228,0.7309346
229,0.7170068
230,0.73672265
231,0.72647274
232,0.7428881
233,0.7116865
234,0.63526344
235,0.7558298
236,0.76765776
237,0.7882615
238,0.7624722
239,0.739204
240,0.73983145
241,0.72885776
242,0.74015665
243,0.7651938
244,0.71576905
245,0.7341477
246,0.7632734
247,0.7604571
248,0.73922825
249,0.684687
250,0.7158724
251,0.76017326
252,0.7440311
253,0.7252513
254,0.7371453
255,0.7604571
256,0.69634247
257,0.77829844
258,0.74376416
259,0.7949824
260,0.76343
261,0.76343
262,0.7135663
263,0.71657205
264,0.7547853
265,0.73672265
266,0.7659526
267,0.779938
268,0.73873115
269,0.7840496
270,0.76935244
271,0.7762489
272,0.7552316
273,0.7682394
274,0.7594485
275,0.77160895
276,0.742729
277,0.7164787
278,0.7636384
279,0.72756594
280,0.7356547
281,0.7583623
282,0.7207743
283,0.7217449
284,0.74207824
285,0.72647274
286,0.7252513
287,0.71305054
288,0.7259131
289,0.76164854
290,0.75343066
291,0.7384112
292,0.7539582
293,0.7175436
294,0.77544194
295,0.7331276
296,0.75178695
297,0.71192276
298,0.73672265
299,0.7367
300,0.7547853
301,0.7311442
302,0.7547853
303,0.7458293
304,0.7430054
305,0.7607143
306,0.74547714
307,0.76093686
308,0.71711946
309,0.74512124
310,0.74512124
311,0.7295711
312,0.7415234
313,0.7445535
314,0.76935244
315,0.75255525
316,0.72532475
317,0.7152994
318,0.7367
319,0.7367
320,0.7559135
321,0.75337344
322,0.73753035
323,0.7584468
324,0.746075
325,0.76163685
326,0.75593376
327,0.75342727
328,0.7600311
329,0.7284509
330,0.70599663
331,0.7060871
332,0.7643864
333,0.6413792
334,0.71824306
335,0.7200109
336,0.7254652
337,0.7244823
338,0.7018237
339,0.7488034
340,0.7336303
341,0.72045135
342,0.74512124
343,0.7563894
344,0.74512124
345,0.7300184
346,0.75199294
347,0.7164787
348,0.77169496
349,0.77463293
350,0.74015665
351,0.72146505
352,0.7164787
353,0.74134576
354,0.7292826
355,0.7547853
356,0.7569457
357,0.7406664
358,0.74025404
359,0.76343
360,0.77379847
361,0.7515954
362,0.7252513
363,0.7712312
364,0.76935244
365,0.7643864
366,0.74512124
367,0.7291629
368,0.722337
369,0.69723344
370,0.7430054
371,0.7515954
372,0.7037752
373,0.7037752
374,0.7731907
375,0.75009525
376,0.73769516
377,0.7527889
378,0.7483722
379,0.72042274
380,0.73061645
381,0.7624722
382,0.72853255
383,0.72853255
384,0.72853255
385,0.7333586
386,0.7428881
387,0.74715513
388,0.712975
389,0.72914755
390,0.7197145
391,0.72922546
392,0.74350834
393,0.7584498
394,0.7441405
395,0.7267284
396,0.74402976
397,0.7244823
398,0.7667588
399,0.7367
400,0.7377765
401,0.763489
402,0.74793506
403,0.7296962
404,0.7642065
405,0.7100346
406,0.7379913
407,0.7286036
408,0.7467234
409,0.74672544
410,0.7589635
411,0.7367152
412,0.7589635
413,0.7659196
414,0.70973694
415,0.74955285
416,0.7547853
417,0.7308697
418,0.76343
419,0.75172764
420,0.7164787
421,0.7189183
422,0.74376416
423,0.7653769
424,0.7142152
425,0.7142152
426,0.7142152
427,0.7142152
428,0.7142152
429,0.7142152
430,0.7142152
431,0.74512124
432,0.74512124
433,0.7265351
434,0.7637894
435,0.76935244
436,0.6413792
437,0.7111281
438,0.75526166
439,0.71319044
440,0.7471303
441,0.7644464
442,0.7473173
443,0.7788522
444,0.73769516
445,0.7365648
446,0.7164787
447,0.6581369
448,0.6581369
449,0.7465585
450,0.7326549
451,0.71595323
452,0.7173772
453,0.74614877
454,0.7236699
455,0.71576905
456,0.7547853
457,0.7386331
458,0.76790833
459,0.72632194
460,0.7914056
461,0.72885776
462,0.74376416
463,0.74512124
464,0.7160276
465,0.7941946
466,0.7419568
467,0.74512124
468,0.73769516
469,0.71595323
470,0.7569457
471,0.7238321
472,0.7335819
473,0.7335819
474,0.7335819
475,0.7335819
476,0.7308697
477,0.7547853
478,0.74512124
479,0.73458993
480,0.7232804
481,0.69540447
482,0.7435956
483,0.77899635
484,0.6880233
485,0.7547853
486,0.7087907
487,0.7593452
488,0.75656325
489,0.7397949
490,0.7415487
491,0.72659737
492,0.7508992
493,0.76885945
494,0.75350755
495,0.75957835
496,0.7213503
497,0.7222648
498,0.7385695
499,0.7007543
500,0.70212674
501,0.7583686
502,0.7220869
503,0.72885364
504,0.760225
505,0.7267284
506,0.7350153
507,0.76108766
508,0.7547853
509,0.7887633
510,0.7473979
511,0.7245347
512,0.76138943
513,0.7070834
514,0.72734845
515,0.7614528
516,0.69583017
517,0.76935244
518,0.7562633
519,0.7533276
520,0.7232804
521,0.7470815
522,0.72402966
523,0.7659196
524,0.7562633
525,0.76164854
526,0.6888133
527,0.76939297
528,0.74512124
529,0.7779645
530,0.7550858
531,0.705017
532,0.7288335
533,0.77899635
534,0.758826
535,0.7624722
536,0.7372865
537,0.66458374
538,0.7550621
539,0.73215497
540,0.7626389
541,0.7270484
542,0.7009624
543,0.72885776
544,0.73792344
545,0.75175583
546,0.7244823
547,0.7863988
548,0.777968
549,0.7886766
550,0.7397834
551,0.7438407
552,0.73413384
553,0.72304964
554,0.74015665
555,0.74137723
556,0.73364115
557,0.7238321
558,0.73389506
559,0.7604571
560,0.7547853
561,0.7465876
562,0.7587045
563,0.73389506
564,0.69513565
565,0.7311616
566,0.7294593
567,0.71737814
568,0.7832657
569,0.76670724
570,0.758497
571,0.73489714
572,0.72671556
573,0.72248334
574,0.71904564
575,0.7473979
576,0.7569457
577,0.74471563
578,0.7267965
579,0.73666227
580,0.7263633
581,0.7259131
582,0.74512124
583,0.68848115
584,0.74148047
585,0.74437094
586,0.64288324
587,0.7689723
588,0.74398744
589,0.7244288
590,0.75298697
591,0.7461339
592,0.76343
593,0.73300856
594,0.7419716
595,0.74034065
596,0.74272716
597,0.7423062
598,0.7808601
599,0.73469794
600,0.77020144
601,0.71700025
602,0.76312906
603,0.7320958
604,0.7423062
605,0.74092746
606,0.76586235
607,0.7281637
608,0.74376416
609,0.71600276
610,0.7348521
611,0.7255339
612,0.75175583
613,0.76935244
614,0.7624722
615,0.7619797
616,0.73391163
617,0.75555825
618,0.73605907
619,0.7659196
620,0.7439776
621,0.7462454
622,0.7284383
623,0.68848115
624,0.73200077
625,0.722337
626,0.75175583
627,0.7490259
628,0.7593452
629,0.73893523
630,0.76935244
631,0.730091
632,0.7624722
633,0.7480835
634,0.7336148
635,0.77016675
636,0.7478429
637,0.7557607
638,0.7471303
639,0.7642065
640,0.7593452
641,0.7514777
642,0.73362243
643,0.7234663
644,0.75611067
645,0.7577917
646,0.7569457
647,0.7083329
648,0.72107005
649,0.7244288
650,0.7840496
651,0.69280547
652,0.7635563
653,0.6925218
654,0.7551676
655,0.7438389
656,0.74282163
657,0.7324036
658,0.76343
659,0.7624722
660,0.73300856
661,0.7547853
662,0.70273525
663,0.77678394
664,0.77171946
665,0.7600311
666,0.74512124
667,0.76310086
668,0.69503415
669,0.7619251
670,0.71305054
671,0.7377765
672,0.7547853
673,0.7244823
674,0.73601794
675,0.7251289
676,0.7158724
677,0.77687883
678,0.73901516
679,0.70769894
680,0.7164787
681,0.7345431
682,0.7401939
683,0.7511643
684,0.7589635
685,0.75258577
686,0.7574238
687,0.76790833
688,0.7347678
689,0.7928653
690,0.64929193
691,0.72894704
692,0.69723344
693,0.76343
694,0.7461719
695,0.7604571
696,0.7604571
697,0.72928905
698,0.7273759
699,0.7338963
700,0.73585826
701,0.73473215
702,0.71853775
703,0.7707046
704,0.7606467
